漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
129,228,軌,軌,キ,軌道,きどう,広軌,こうき,常軌,じょうき,軌道(きどう),広軌(こうき),常軌(じょうき),
130,229,既(),既,キ,既成,きせい,既婚,きこん,既往症,きおうしょう,既成(きせい),既婚(きこん),既往症(きおうしょう),
130,230,既(),既,すでに,既に,すでに,,,,,既に(すでに),,,
131,231,飢,飢,キ,飢餓,きが,,,,,飢餓(きが),,,
131,232,飢,飢,うえる,飢える,うえる,,,,,飢える(うえる),,,
132,233,鬼,鬼,キ,鬼神,きしん,鬼才,きさい,餓鬼,がき,鬼神(きしん),鬼才(きさい),餓鬼(がき),
132,234,鬼,鬼,おに,鬼,おに,鬼ごっこ,おにごっこ,赤鬼,あかおに,鬼(おに),鬼ごっこ(おにごっこ),赤鬼(あかおに),
133,235,幾,幾,キ,幾何学,きかがく,,,,,幾何学(きかがく),,,
133,236,幾,幾,いく,幾つ,いくつ,幾ら,いくら,幾日,いくにち,幾つ(いくつ),幾ら(いくら),幾日(いくにち),
134,237,棋,棋,キ,棋士,きし,棋譜,きふ,将棋,しょうぎ,棋士(きし),棋譜(きふ),将棋(しょうぎ),
135,238,棄,棄,キ,棄権,きけん,放棄,ほうき,遺棄,いき,棄権(きけん),放棄(ほうき),遺棄(いき),
136,239,輝,輝,キ,輝石,きせき,,,,,輝石(きせき),,,
136,240,輝,輝,かがやく,輝く,かがやく,輝き,かがやき,輝かしい,かがやかしい,輝く(かがやく),輝き(かがやき),輝かしい(かがやかしい),
137,241,騎,騎,キ,騎士,きし,騎馬,きば,一騎当千,いっきとうせん,騎士(きし),騎馬(きば),一騎当千(いっきとうせん),
138,242,宜,宜,ギ,適宜,てきぎ,,,,,適宜(てきぎ),,,
